1	Short Sword	Короткий меч	w0001	10100001	01010001	02010001	03010070	0	0	00	1	10	0	0	7	1	1	1	1	1	1	1	1015	3,2,1	10	1,8,9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,50	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	30,58	38,70	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sword that is slightly shorter	Меч, который немного короче	1
2	Long Sword	Длинный меч	w0002	10100001	01010002	02010002	03010071	0	0	00	1	10	0	0	7	1	1	1	1	1	1	1	4897	3,2,1	20	1,8,9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,50	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	56,80	70,98	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sword that is slightly longer	Меч, который немного длиннее	1
3	Fencing Sword	Шпага	w0003	10100001	01010003	02010003	03010072	0	0	00	1	10	0	0	6	1	1	1	1	1	1	1	12948	3,2,1	30	1,8,9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,50	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,11	0,11	0,11	0,11	0,11	0,0	0,0	0,0	79,89	97,111	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sword made by western country. Light and fast	Меч, изготовленный в западной стране. Легкий и быстрый. 	1
4	Serpentine Sword	Змеиный меч	w0004	10100001	01010004	02010004	03010073	0	0	00	1	10	0	0	6	1	1	1	1	1	1	1	26123	3,1	40	9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,50	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,12	0,12	0,12	0,12	0,12	0,0	0,0	0,0	89,97	109,121	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5	Dazzling Sword	Ослепляющий меч	w0005	10100001	01010005	02010005	03010074	0	0	00	1	10	0	0	5	1	1	1	1	1	1	1	45219	3,1	50	9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,50	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,13	0,13	0,13	0,13	0,13	0,0	0,0	0,0	102,118	126,146	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
6	Wyrm Sword	Меч дракона	w0006	10100001	01010006	02010006	03010075	0	0	00	1	10	0	0	4	1	1	1	1	1	1	1	70938	3,1	60	9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,50	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,15	0,15	0,15	0,15	0,15	0,0	0,0	0,0	118,134	146,166	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
7	Sacro Sword	Священный меч	w0007	10100001	01010007	02010007	03010076	0	0	00	1	10	0	0	4	1	1	1	1	1	1	1	103915	3,1	70	9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,50	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,17	0,17	0,17	0,17	0,17	0,0	0,0	0,0	134,148	164,182	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
8	Newbie Knife	Нож новичка	w0092	10100001	01010008	02010008	03010008	04010008	0	00	1	0	0	0	0	0	1	1	1	1	1	1	27	-1	1	-1	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	14,14	18,18	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
9	Newbie Sword	Меч новичка	w0092	10100001	01010008	02010008	03010008	04010008	0	00	1	0	0	0	0	0	1	1	1	1	1	1	100	-1	7	-1	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	29,30	33,38	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
10	Short Metal Sword	Короткий железный меч	w0260	10100001	01010009	02010009	03010077	0	0	00	1	10	0	0	7	1	1	1	1	1	1	1	2403	3,2,1	15	1,8,9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,50	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	44,68	54,86	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
